squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price_in_thousands
81531,57,0,1,2,53236,7,1,1990,0,0,6192,9969,736,1,2,8158.2
78731,88,0,0,79,78649,7,6,1991,1,1,5914,6048,742,0,3,7878.47
78004,71,1,1,96,39708,10,10,1990,1,1,4527,2138,329,1,6,7816.75
15727,25,1,0,55,17489,1,7,2007,0,1,8350,1546,859,1,8,1577.6
3190,59,0,0,95,35955,6,6,2004,1,1,9709,6168,338,0,5,322.18
28605,2,0,1,25,63712,7,6,2003,1,1,1624,1800,492,0,1,2866.46
96815,44,1,1,59,27363,5,3,1994,0,0,8231,9548,769,1,8,9693.11
20795,47,0,1,74,19055,10,7,2000,0,0,4179,198,945,1,6,2086.27
82395,4,1,1,22,9393,4,5,2017,1,1,561,1725,474,0,3,8246.5
34668,69,1,1,12,17366,8,7,2002,0,1,3476,7549,503,1,7,3475.23
14137,68,1,1,50,38652,8,7,2021,0,0,9290,3294,189,0,6,1425.17
41488,22,0,0,59,2019,9,1,2013,0,1,2090,4438,650,0,3,4151.54
93803,75,0,1,38,49087,1,10,2000,1,1,2369,9692,214,1,4,9387.51
14011,99,0,1,59,34664,6,2,2002,0,1,9027,4732,585,1,1,1408.29
77337,32,0,0,68,86551,2,4,1991,0,0,6260,6902,287,0,2,7739.17
27612,18,1,1,29,76879,3,4,2019,1,0,9956,9457,753,0,8,2770.16
6459,52,1,0,61,2621,6,2,1996,0,1,5048,2439,635,0,0,652.74
29835,17,0,1,97,8909,9,5,1995,1,1,9892,2768,431,1,2,2995.29
90777,78,0,0,8,11891,10,5,2009,0,1,5120,5209,744,0,6,9079.09
73838,68,1,1,63,52507,6,9,2009,1,1,2945,4176,899,1,2,7396.3
65273,91,0,1,29,78580,10,9,2019,0,0,4089,6156,937,0,8,6533.56
20375,37,1,0,4,66271,4,2,2017,0,1,8866,9527,963,0,2,2042.17
5849,39,0,0,43,7619,4,8,2009,1,0,7993,2585,672,0,5,588.47
8300,93,0,1,72,25524,6,1,2005,1,0,2740,5630,453,1,10,837.25
70380,17,0,1,49,15061,2,5,2006,1,1,9977,1502,178,0,7,7047.02
55485,70,1,0,14,93520,10,4,2013,1,0,8482,6766,906,0,2,5555.22
15815,13,1,1,2,2179,7,1,2019,1,0,637,7880,552,0,4,1585.03
61152,84,1,0,34,98475,9,1,2007,0,1,8053,8240,884,1,7,6121.94
93734,17,1,1,62,29088,5,4,1999,0,1,2504,3891,325,0,2,9385.15
84747,97,0,1,86,50495,7,7,2014,1,0,7441,7366,404,0,7,8483.57
32599,68,0,0,67,20244,5,6,2003,0,0,4964,4624,902,0,1,3265.98
